Latitude (deg)    Minimum    Maximum    Average
--------------    -------    -------    -------
         0.000      3.297      3.297      3.297
         1.000      3.298      3.298      3.298
         2.000      3.301      3.301      3.301
         3.000      3.304      3.304      3.304
         4.000      3.309      3.309      3.309
         5.000      3.315      3.315      3.315
         6.000      3.325      3.325      3.325
         7.000      3.337      3.337      3.337
         8.000      3.351      3.351      3.351
         9.000      3.368      3.368      3.368
        10.000      3.387      3.387      3.387
        11.000      3.408      3.408      3.408
        12.000      3.430      3.430      3.430
        13.000      3.455      3.455      3.455
        14.000      3.481      3.481      3.481
        15.000      3.510      3.510      3.510
        16.000      3.541      3.541      3.541
        17.000      3.574      3.574      3.574
        18.000      3.609      3.609      3.609
        19.000      3.648      3.648      3.648
        20.000      3.692      3.692      3.692
        21.000      3.740      3.740      3.740
        22.000      3.792      3.792      3.792
        23.000      3.846      3.846      3.846
        24.000      3.905      3.905      3.905
        25.000      3.968      3.968      3.968
        26.000      4.035      4.035      4.035
        27.000      4.107      4.107      4.107
        28.000      4.186      4.186      4.186
        29.000      4.271      4.271      4.271
        30.000      4.364      4.364      4.364
        31.000      4.465      4.465      4.465
        32.000      4.576      4.576      4.576
        33.000      4.696      4.696      4.696
        34.000      4.829      4.829      4.829
        35.000      4.974      4.974      4.974
        36.000      5.138      5.138      5.138
        37.000      5.321      5.321      5.321
        38.000      5.526      5.526      5.526
        39.000      5.758      5.758      5.758
        40.000      6.027      6.027      6.027
        41.000      6.346      6.346      6.346
        42.000      6.729      6.729      6.729
        43.000      7.209      7.209      7.209
        44.000      7.854      7.854      7.854
        45.000      8.919      8.919      8.919
        46.000     10.272     10.272     10.272
        47.000     10.725     10.725     10.725
        48.000     10.817     10.817     10.817
        49.000     10.656     10.656     10.656
        50.000     10.289     10.289     10.289
        51.000      9.742      9.742      9.742
        52.000      9.032      9.032      9.032
        53.000      8.174      8.174      8.174
        54.000      7.172      7.172      7.172
        55.000      6.031      6.031      6.031
        56.000      4.754      4.754      4.754
        57.000      3.345      3.345      3.345
        58.000      1.799      1.799      1.799
        59.000      0.141      0.141      0.141
        60.000      0.000      0.000      0.000
