Latitude (deg)    Minimum    Maximum    Average
--------------    -------    -------    -------
         0.000          2          2      2.000
         1.000          2          2      2.000
         2.000          2          2      2.000
         3.000          2          2      2.000
         4.000          2          2      2.000
         5.000          2          2      2.000
         6.000          2          2      2.000
         7.000          2          2      2.000
         8.000          2          2      2.000
         9.000          2          2      2.000
        10.000          2          2      2.000
        11.000          2          2      2.000
        12.000          2          2      2.000
        13.000          2          2      2.000
        14.000          2          2      2.000
        15.000          2          2      2.000
        16.000          2          2      2.000
        17.000          2          2      2.000
        18.000          2          2      2.000
        19.000          2          2      2.000
        20.000          2          2      2.000
        21.000          2          2      2.000
        22.000          2          2      2.000
        23.000          2          2      2.000
        24.000          2          2      2.000
        25.000          2          2      2.000
        26.000          2          2      2.000
        27.000          3          3      3.000
        28.000          2          2      2.000
        29.000          2          2      2.000
        30.000          2          2      2.000
        31.000          3          3      3.000
        32.000          3          3      3.000
        33.000          2          2      2.000
        34.000          3          3      3.000
        35.000          3          3      3.000
        36.000          3          3      3.000
        37.000          4          4      4.000
        38.000          4          4      4.000
        39.000          4          4      4.000
        40.000          4          4      4.000
        41.000          4          4      4.000
        42.000          4          4      4.000
        43.000          4          4      4.000
        44.000          4          4      4.000
        45.000          4          4      4.000
        46.000          8          8      8.000
        47.000          8          8      8.000
        48.000          9          9      9.000
        49.000          8          8      8.000
        50.000          7          7      7.000
        51.000          7          7      7.000
        52.000          7          7      7.000
        53.000          6          6      6.000
        54.000          4          4      4.000
        55.000          4          4      4.000
        56.000          4          4      4.000
        57.000          2          2      2.000
        58.000          1          1      1.000
        59.000          0          0      0.000
        60.000          0          0      0.000
