Latitude (deg)    Minimum    Maximum    Average
--------------    -------    -------    -------
         0.000      6.887      6.887      6.887
         1.000      6.888      6.888      6.888
         2.000      6.892      6.892      6.892
         3.000      6.902      6.902      6.902
         4.000      6.915      6.915      6.915
         5.000      6.931      6.931      6.931
         6.000      6.951      6.951      6.951
         7.000      6.974      6.974      6.974
         8.000      7.002      7.002      7.002
         9.000      7.035      7.035      7.035
        10.000      7.072      7.072      7.072
        11.000      7.113      7.113      7.113
        12.000      7.159      7.159      7.159
        13.000      7.211      7.211      7.211
        14.000      7.267      7.267      7.267
        15.000      7.327      7.327      7.327
        16.000      7.393      7.393      7.393
        17.000      7.466      7.466      7.466
        18.000      7.544      7.544      7.544
        19.000      7.627      7.627      7.627
        20.000      7.716      7.716      7.716
        21.000      7.811      7.811      7.811
        22.000      7.912      7.912      7.912
        23.000      8.023      8.023      8.023
        24.000      8.143      8.143      8.143
        25.000      8.271      8.271      8.271
        26.000      8.408      8.408      8.408
        27.000      8.557      8.557      8.557
        28.000      8.721      8.721      8.721
        29.000      8.897      8.897      8.897
        30.000      9.089      9.089      9.089
        31.000      9.297      9.297      9.297
        32.000      9.522      9.522      9.522
        33.000      9.767      9.767      9.767
        34.000     10.037     10.037     10.037
        35.000     10.332     10.332     10.332
        36.000     10.660     10.660     10.660
        37.000     11.028     11.028     11.028
        38.000     11.442     11.442     11.442
        39.000     11.913     11.913     11.913
        40.000     12.457     12.457     12.457
        41.000     13.097     13.097     13.097
        42.000     13.875     13.875     13.875
        43.000     14.869     14.869     14.869
        44.000     16.282     16.282     16.282
        45.000     18.779     18.779     18.779
        46.000     19.998     19.998     19.998
        47.000     20.560     20.560     20.560
        48.000     20.717     20.717     20.717
        49.000     20.561     20.561     20.561
        50.000     20.142     20.142     20.142
        51.000     19.492     19.492     19.492
        52.000     18.630     18.630     18.630
        53.000     17.571     17.571     17.571
        54.000     16.322     16.322     16.322
        55.000     14.890     14.890     14.890
        56.000     13.274     13.274     13.274
        57.000     11.483     11.483     11.483
        58.000      9.512      9.512      9.512
        59.000      7.366      7.366      7.366
        60.000      5.035      5.035      5.035
