Latitude (deg)    Minimum    Maximum    Average
--------------    -------    -------    -------
         0.000          9          9      9.000
         1.000         10         10     10.000
         2.000         10         10     10.000
         3.000          9          9      9.000
         4.000          9          9      9.000
         5.000          9          9      9.000
         6.000          9          9      9.000
         7.000         10         10     10.000
         8.000         10         10     10.000
         9.000         10         10     10.000
        10.000         10         10     10.000
        11.000         10         10     10.000
        12.000         10         10     10.000
        13.000         10         10     10.000
        14.000          9          9      9.000
        15.000         10         10     10.000
        16.000         10         10     10.000
        17.000         11         11     11.000
        18.000         12         12     12.000
        19.000         11         11     11.000
        20.000         12         12     12.000
        21.000         11         11     11.000
        22.000         11         11     11.000
        23.000         10         10     10.000
        24.000         11         11     11.000
        25.000         11         11     11.000
        26.000         12         12     12.000
        27.000         11         11     11.000
        28.000         12         12     12.000
        29.000         12         12     12.000
        30.000         12         12     12.000
        31.000         12         12     12.000
        32.000         12         12     12.000
        33.000         12         12     12.000
        34.000         12         12     12.000
        35.000         13         13     13.000
        36.000         13         13     13.000
        37.000         13         13     13.000
        38.000         15         15     15.000
        39.000         15         15     15.000
        40.000         15         15     15.000
        41.000         17         17     17.000
        42.000         18         18     18.000
        43.000         17         17     17.000
        44.000         20         20     20.000
        45.000         21         21     21.000
        46.000         23         23     23.000
        47.000         24         24     24.000
        48.000         25         25     25.000
        49.000         23         23     23.000
        50.000         23         23     23.000
        51.000         23         23     23.000
        52.000         21         21     21.000
        53.000         20         20     20.000
        54.000         19         19     19.000
        55.000         17         17     17.000
        56.000         16         16     16.000
        57.000         13         13     13.000
        58.000         13         13     13.000
        59.000          9          9      9.000
        60.000          7          7      7.000
