Latitude (deg)    Minimum    Maximum    Average
--------------    -------    -------    -------
         0.000     54.537     54.537     54.537
         1.000     54.555     54.555     54.555
         2.000     54.611     54.611     54.611
         3.000     54.702     54.702     54.702
         4.000     54.827     54.827     54.827
         5.000     54.997     54.997     54.997
         6.000     55.203     55.203     55.203
         7.000     55.454     55.454     55.454
         8.000     55.746     55.746     55.746
         9.000     56.080     56.080     56.080
        10.000     56.456     56.456     56.456
        11.000     56.883     56.883     56.883
        12.000     57.360     57.360     57.360
        13.000     57.893     57.893     57.893
        14.000     58.487     58.487     58.487
        15.000     59.146     59.146     59.146
        16.000     59.876     59.876     59.876
        17.000     60.686     60.686     60.686
        18.000     61.589     61.589     61.589
        19.000     62.594     62.594     62.594
        20.000     63.719     63.719     63.719
        21.000     64.992     64.992     64.992
        22.000     66.449     66.449     66.449
        23.000     68.149     68.149     68.149
        24.000     70.207     70.207     70.207
        25.000     72.933     72.933     72.933
        26.000     77.073     77.073     77.073
        27.000     79.622     79.622     79.622
        28.000     81.482     81.482     81.482
        29.000     82.934     82.934     82.934
        30.000     84.096     84.096     84.096
        31.000     85.020     85.020     85.020
        32.000     85.748     85.748     85.748
        33.000     86.306     86.306     86.306
        34.000     86.714     86.714     86.714
        35.000     86.980     86.980     86.980
        36.000     87.123     87.123     87.123
        37.000     87.148     87.148     87.148
        38.000     87.061     87.061     87.061
        39.000     86.872     86.872     86.872
        40.000     86.584     86.584     86.584
        41.000     86.200     86.200     86.200
        42.000     85.724     85.724     85.724
        43.000     85.160     85.160     85.160
        44.000     84.506     84.506     84.506
        45.000     83.765     83.765     83.765
        46.000     82.939     82.939     82.939
        47.000     82.027     82.027     82.027
        48.000     81.032     81.032     81.032
        49.000     79.953     79.953     79.953
        50.000     78.789     78.789     78.789
        51.000     77.541     77.541     77.541
        52.000     76.209     76.209     76.209
        53.000     74.789     74.789     74.789
        54.000     73.280     73.280     73.280
        55.000     71.681     71.681     71.681
        56.000     69.990     69.990     69.990
        57.000     68.204     68.204     68.204
        58.000     66.319     66.319     66.319
        59.000     64.333     64.333     64.333
        60.000     62.243     62.243     62.243
