Latitude (deg)    Minimum    Maximum    Average
--------------    -------    -------    -------
         0.000         62         62     62.000
         1.000         60         60     60.000
         2.000         59         59     59.000
         3.000         62         62     62.000
         4.000         61         61     61.000
         5.000         59         59     59.000
         6.000         59         59     59.000
         7.000         61         61     61.000
         8.000         60         60     60.000
         9.000         60         60     60.000
        10.000         60         60     60.000
        11.000         61         61     61.000
        12.000         61         61     61.000
        13.000         63         63     63.000
        14.000         64         64     64.000
        15.000         64         64     64.000
        16.000         65         65     65.000
        17.000         65         65     65.000
        18.000         67         67     67.000
        19.000         68         68     68.000
        20.000         70         70     70.000
        21.000         69         69     69.000
        22.000         71         71     71.000
        23.000         74         74     74.000
        24.000         76         76     76.000
        25.000         76         76     76.000
        26.000         82         82     82.000
        27.000         84         84     84.000
        28.000         87         87     87.000
        29.000         88         88     88.000
        30.000         89         89     89.000
        31.000         90         90     90.000
        32.000         91         91     91.000
        33.000         91         91     91.000
        34.000         90         90     90.000
        35.000         91         91     91.000
        36.000         90         90     90.000
        37.000         91         91     91.000
        38.000         91         91     91.000
        39.000         91         91     91.000
        40.000         90         90     90.000
        41.000         90         90     90.000
        42.000         89         89     89.000
        43.000         90         90     90.000
        44.000         88         88     88.000
        45.000         88         88     88.000
        46.000         88         88     88.000
        47.000         86         86     86.000
        48.000         85         85     85.000
        49.000         83         83     83.000
        50.000         82         82     82.000
        51.000         82         82     82.000
        52.000         81         81     81.000
        53.000         80         80     80.000
        54.000         78         78     78.000
        55.000         76         76     76.000
        56.000         75         75     75.000
        57.000         72         72     72.000
        58.000         71         71     71.000
        59.000         69         69     69.000
        60.000         66         66     66.000
