Latitude (deg)    Minimum    Maximum    Average
--------------    -------    -------    -------
         0.000         50         50     50.000
         1.000         50         50     50.000
         2.000         50         50     50.000
         3.000         50         50     50.000
         4.000         50         50     50.000
         5.000         51         51     51.000
         6.000         51         51     51.000
         7.000         52         52     52.000
         8.000         52         52     52.000
         9.000         52         52     52.000
        10.000         53         53     53.000
        11.000         53         53     53.000
        12.000         52         52     52.000
        13.000         52         52     52.000
        14.000         54         54     54.000
        15.000         54         54     54.000
        16.000         55         55     55.000
        17.000         54         54     54.000
        18.000         54         54     54.000
        19.000         56         56     56.000
        20.000         58         58     58.000
        21.000         58         58     58.000
        22.000         63         63     63.000
        23.000         64         64     64.000
        24.000         65         65     65.000
        25.000         69         69     69.000
        26.000         71         71     71.000
        27.000         73         73     73.000
        28.000         78         78     78.000
        29.000         78         78     78.000
        30.000         78         78     78.000
        31.000         80         80     80.000
        32.000         80         80     80.000
        33.000         81         81     81.000
        34.000         80         80     80.000
        35.000         81         81     81.000
        36.000         84         84     84.000
        37.000         82         82     82.000
        38.000         82         82     82.000
        39.000         83         83     83.000
        40.000         83         83     83.000
        41.000         83         83     83.000
        42.000         82         82     82.000
        43.000         81         81     81.000
        44.000         80         80     80.000
        45.000         80         80     80.000
        46.000         80         80     80.000
        47.000         78         78     78.000
        48.000         78         78     78.000
        49.000         77         77     77.000
        50.000         75         75     75.000
        51.000         74         74     74.000
        52.000         72         72     72.000
        53.000         71         71     71.000
        54.000         69         69     69.000
        55.000         67         67     67.000
        56.000         66         66     66.000
        57.000         65         65     65.000
        58.000         62         62     62.000
        59.000         60         60     60.000
        60.000         59         59     59.000
